Timestamp,OS,Arch,CPU,hostd Version,Upload Speed,Download Speed,Append Sector P99,Read Sector P99,Read Sector TTFB
2024-10-26T18:28:36Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,1494.9104 Mbps,1874.9816 Mbps,27 ms,26 ms,13 ms
2024-10-27T17:46:53Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,1502.7101 Mbps,1862.1658 Mbps,26 ms,26 ms,13 ms
2024-10-27T20:24:11Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,1496.1514 Mbps,1863.3186 Mbps,26 ms,25 ms,12 ms
2024-10-27T22:03:39Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,1493.2475 Mbps,1901.6316 Mbps,26 ms,25 ms,12 ms
2024-10-28T00:22:24Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,1484.6167 Mbps,1906.1014 Mbps,26 ms,25 ms,12 ms
2024-10-28T03:15:15Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,1491.3585 Mbps,1903.4649 Mbps,26 ms,25 ms,13 ms
2024-10-28T06:09:01Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,1484.2976 Mbps,1895.7698 Mbps,27 ms,26 ms,12 ms
2024-10-28T09:08:02Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,1480.2387 Mbps,1903.2309 Mbps,25 ms,25 ms,12 ms
2024-10-28T15:56:22Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,1478.4579 Mbps,1914.4482 Mbps,26 ms,25 ms,12 ms
2024-10-28T18:08:18Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,1499.7190 Mbps,1881.8361 Mbps,26 ms,25 ms,12 ms
2024-10-28T21:06:48Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,1489.0983 Mbps,1867.9513 Mbps,26 ms,26 ms,12 ms
2024-10-29T06:09:11Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,1507.9349 Mbps,1899.2157 Mbps,25 ms,25 ms,13 ms
2024-10-29T09:07:28Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,1493.3592 Mbps,1898.1945 Mbps,25 ms,25 ms,12 ms
2024-10-29T12:10:18Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,1498.8667 Mbps,1874.0350 Mbps,25 ms,26 ms,13 ms
2024-10-30T17:06:35Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,1483.7317 Mbps,1906.3650 Mbps,27 ms,25 ms,13 ms
